Compound_CID,SMILES,Carcinogenicity
14865,C=CCCCCCCCCC(=O)[O-].C=CCCCCCCCCC(=O)[O-].[Ca+2],No indication of carcinogenicity to humans (not listed by IARC).
14888,[O-2].[O-2].[O-2].[As+3].[As+3],"1, carcinogenic to humans. (L135)"
14917,F,No indication of carcinogenicity to humans (not listed by IARC).
14940,O=[Mn],No indication of carcinogenicity to humans (not listed by IARC).
14960,C[C@H]1C=CC=CCCC=CC=CC=CC=CC(CC2C(C(C[C@](O2)(CC(C(CCC(CC(CC(CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,No indication of carcinogenicity to humans (not listed by IARC).
14969,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,No indication of carcinogenicity to humans (not listed by IARC).
14985,CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C,No indication of carcinogenicity to humans (not listed by IARC).
14987,CN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)CO,No indication of carcinogenicity to humans (not listed by IARC).
14992,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O.C(CO)N,Not Available
15096,CCCC[Sn](CCCC)(CCCC)Cl,No indication of carcinogenicity to humans (not listed by IARC).
15098,CCCC[Sn](CCCC)(CCCC)CCCC,No indication of carcinogenicity to humans (not listed by IARC).
15106,C1=CC=C2C(=C1)C=CC=C2NCCN.Cl.Cl,Not Available
15130,CC[C@@H](C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C,No indication of carcinogenicity to humans (not listed by IARC).
15279,CC1CC2=C(O1)C(=CC=C2)OC(=O)NC,No indication of carcinogenicity to humans (not listed by IARC).
15324,CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Ca+2],"Not listed by IARC. IARC classified aluminum production as carcinogenic to humans (Group 1), but did not implicate aluminum itself as a human carcinogen. (L135) A link between use of aluminum-containing antiperspirants and increased risk of breast cancer has been proposed (A235), but studies have not been able to establish a clear link (A15468)."
15329,CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C.Cl,No indication of carcinogenicity to humans (not listed by IARC).
15331,CN(C)NC(=O)CCC(=O)O,Not listed by IARC.
15337,CC(=O)[O-].CC(=O)[O-].[Hg+2],No indication of carcinogenicity (not listed by IARC). (L135)
15374,CCNNCC,Group 2B: Possibly carcinogenic to humans
15413,CC(C)(C)OC,Group 2B: Possibly carcinogenic to humans
15415,CCOC(=O)CC(C(=O)OCC)SP(=O)(OC)OC,Not Available
15424,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C.Cl,No indication of carcinogenicity to humans (not listed by IARC).
15437,CC(C)(C=NOC(=O)NC)S(=O)C,No indication of carcinogenicity to humans (not listed by IARC).
15438,CC(C)(C=NOC(=O)NC)S(=O)(=O)C,No indication of carcinogenicity to humans (not listed by IARC).
15460,C1=CC=C(C=C1)[Se][Se]C2=CC=CC=C2,"3, not classifiable as to its carcinogenicity to humans. (L135)"
15529,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)O,Group 3: Not classifiable as to its carcinogenicity to humans
15531,C1=C(C=C(C(=C1Br)O)Br)C#N,No indication of carcinogenicity to humans (not listed by IARC).
15546,C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl,No indication of carcinogenicity to humans (not listed by IARC).
15553,C1=CC(=NC(=C1Cl)C(=O)O)Cl,No indication of carcinogenicity to humans (not listed by IARC).
15564,CC1=CC2=C(C=CC3=CC=CC=C32)C4=CC=CC=C14,Group 3: Not classifiable as to its carcinogenicity to humans
15565,CC1=C2C=CC=C3C2=C(C=C1)C4=CC=CC=C43,Group 3: Not classifiable as to its carcinogenicity to humans
15600,CCCCCCCCCC,No indication of carcinogenicity to humans (not listed by IARC).
15625,C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl,Group 1: Carcinogenic to humans
15661,CC[Pb](C)(C)C,"Organic lead compounds are not classifiable as to their carcinogenicity to humans (Group 3). To the extent that organic lead compounds are metabolized in part to ionic lead, they are expected to exert the toxicities associated with inorganic lead (Group 2A, probably carcinogenic to humans). (L135)"
15662,CC[Pb](C)(C)CC,"Organic lead compounds are not classifiable as to their carcinogenicity to humans (Group 3). To the extent that organic lead compounds are metabolized in part to ionic lead, they are expected to exert the toxicities associated with inorganic lead (Group 2A, probably carcinogenic to humans). (L135)"
15663,CC[Pb](C)(CC)CC,"Organic lead compounds are not classifiable as to their carcinogenicity to humans (Group 3). To the extent that organic lead compounds are metabolized in part to ionic lead, they are expected to exert the toxicities associated with inorganic lead (Group 2A, probably carcinogenic to humans). (L135)"
15666,C(#N)[S-].[NH4+],No indication of carcinogenicity to humans (not listed by IARC).
15679,COC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC(=O)OC,No indication of carcinogenicity to humans (not listed by IARC).
15685,CCOC1=C(C=C(C=C1)NC(=O)C)[N+](=O)[O-],Not Available
15688,CC(C)C[Al](CC(C)C)Cl,"Not listed by IARC. IARC classified aluminum production as carcinogenic to humans (Group 1), but did not implicate aluminum itself as a human carcinogen. (L135) A link between use of aluminum-containing antiperspirants and increased risk of breast cancer has been proposed (A235), but studies have not been able to establish a clear link (A15468)."
15767,COC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,Not Available
15787,C1=CC(=CC=C1[N+](=O)[O-])OC2=C(C=C(C=C2)Cl)Cl,Group 2B: Possibly carcinogenic to humans
15847,C1=CC(=CC=C1C=C(C#N)C#N)Cl,No indication of carcinogenicity to humans (not listed by IARC).
15851,CNC1(CCCCC1=O)C2=CC=CC=C2Cl.Cl,No indication of carcinogenicity to humans (not listed by IARC).
15909,CC(=O)C=CC1=CC=CC=C1,No indication of carcinogenicity to humans (not listed by IARC).
15910,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,Group 2B: Possibly carcinogenic to humans
15938,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C.[Cl-].[Cl-],No indication of carcinogenicity to humans (not listed by IARC).
15939,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,No indication of carcinogenicity to humans (not listed by IARC).
15965,C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N,Group 3: Not classifiable as to its carcinogenicity to humans
15967,CC1=CC(=C(C(=C1)C(C)(C)C)OC(=O)NC)C(C)(C)C,No indication of carcinogenicity to humans (not listed by IARC).
15969,COC(=O)NC1=CC(=C(C=C1)Cl)Cl,No indication of carcinogenicity to humans (not listed by IARC).
15993,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,No indication of carcinogenicity to humans (not listed by IARC).
16004,C1=CC(=NC(=C1)Cl)C(Cl)(Cl)Cl,No indication of carcinogenicity to humans (not listed by IARC).
16015,C1=CC=C(C=C1)N=NC2=C(C=CC3=CC(=CC(=C32)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+],Group 3: Not classifiable as to its carcinogenicity to humans
16043,CC(C)(C)C1=C(C=CC(=C1)O)O,No indication of carcinogenicity to humans (not listed by IARC).
16058,C1C(O1)COCCOCCOCCOCC2CO2,Group 3: Not classifiable as to its carcinogenicity to humans
16059,CC1(COC1=O)C,Not Available
16073,CC(C#C)OC(=O)NC1=CC(=CC=C1)Cl,No indication of carcinogenicity to humans (not listed by IARC).
16078,CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,No indication of carcinogenicity to humans (not listed by IARC).
16180,CNC.C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,"2B, possibly carcinogenic to humans. (L135)"
16181,CCSC(=O)N(CC(C)C)CC(C)C,No indication of carcinogenicity to humans (not listed by IARC).
16247,CC1=C(C=CC(=C1)OC(=O)NC)N(C)C,No indication of carcinogenicity to humans (not listed by IARC).
16248,CC1=CC(=CC(=C1SC)C)OC(=O)NC,No indication of carcinogenicity to humans (not listed by IARC).
16305,C1=CC(=CC=C1OC2=CC=C(C=C2)Br)Br,No indication of carcinogenicity to humans (not listed by IARC).
16307,C1=CC(=CC(=C1)Cl)C2=CC(=CC=C2)Cl,"1, carcinogenic to humans. (L135)"
16308,C1=CC(=CC=C1C2=CC=C(C=C2)Cl)Cl,"1, carcinogenic to humans. (L135)"
16318,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl,"1, carcinogenic to humans. (L135)"
16322,C1=CC=C(C=C1)C2=CC(=CC=C2)Cl,"1, carcinogenic to humans. (L135)"
16323,C1=CC=C(C=C1)C2=CC=C(C=C2)Cl,"1, carcinogenic to humans. (L135)"
16362,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,No indication of carcinogenicity to humans (not listed by IARC).
16449,C1=CC=C(C=C1)C2=CC(=CC=C2)Br,"2A, probably carcinogenic to humans. (L135)"
16495,C1=C(C(=C(C(=C1Cl)Cl)C2=C(C(=CC(=C2Cl)Cl)Cl)Cl)Cl)Cl,"1, carcinogenic to humans. (L135)"
16562,CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F,Group 3: Not classifiable as to its carcinogenicity to humans
16589,CC1=CC(=CC(=C1S(=O)(=O)C)C)OC(=O)NC,No indication of carcinogenicity to humans (not listed by IARC).
16653,CCSC(=O)N1CCCCCC1,No indication of carcinogenicity to humans (not listed by IARC).
16666,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,No indication of carcinogenicity to humans (not listed by IARC).
16696,CC[Hg+].OP(=O)(O)[O-],No indication of carcinogenicity (not listed by IARC). (L135)
16700,CCCCCCCCCCCCOS(=O)(=O)[O-].[NH4+],"Not listed by IARC. Certain nitrosamines are classified by IARC as either probably or possibly carcinogenic to humans (Groups 2A and 2B, respectively). (L135)"
16717,C1=CC=C(C=C1)C2=CC(=CC=C2)N,Not listed by IARC.
16720,C1=CC2=C(C=CC=C2N)C(=C1)N,Group 3: Not classifiable as to its carcinogenicity to humans
16724,CC1=CC[C@@H](CC1=O)C(=C)C,Not Available
16787,CCCC(C)C1=CC(=CC=C1)OC(=O)NC,No indication of carcinogenicity to humans (not listed by IARC).
16811,CNC.COC1=C(C=CC(=C1C(=O)O)Cl)Cl,No indication of carcinogenicity to humans (not listed by IARC).
16817,C[C@H]1[C@@H](C[C@H](O1)C[N+](C)(C)C)O.[Cl-],No indication of carcinogenicity to humans (not listed by IARC).
16850,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,No indication of carcinogenicity to humans (not listed by IARC).
16887,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=C(C=C(C=C5)O)S(=O)(=O)[O-].[Na+].[Na+],Group 3: Not classifiable as to its carcinogenicity to humans
16900,CCCCCC=CC=O,No indication of carcinogenicity to humans (not listed by IARC).
16945,C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl,Group 2B: Possibly carcinogenic to humans
16950,C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
16996,CCCC[SnH3],No indication of carcinogenicity to humans (not listed by IARC).
17023,CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Cd+2],"1, carcinogenic to humans. (L135)"
17038,C1C=CCC2C1C(=O)N(C2=O)SC(C(Cl)Cl)(Cl)Cl,Group 2A: Probably carcinogenic to humans
17040,CC1=C(C=C(C=C1)OC(=O)NC)C,No indication of carcinogenicity to humans (not listed by IARC).
17047,CC1=CC(=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O)[N+](=O)[O-],Group 3: Not classifiable as to its carcinogenicity to humans
17049,CCCCOCC1CO1,Group 2B: Possibly carcinogenic to humans
17083,C(CCCCCN)CCCCC(=O)O,Group 3: Not classifiable as to its carcinogenicity to humans
17107,COC1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl,Not Available
17166,CCCCCCC=CC=O,No indication of carcinogenicity to humans (not listed by IARC).
17190,C1=CC(=C2C(=C1N)C(=O)C3=C(C=CC(=C3C2=O)N)N)N,Group 2B: Possibly carcinogenic to humans
17325,CCCC1=NC(=CC(=N1)OC(=O)N(C)C)C,No indication of carcinogenicity to humans (not listed by IARC).
17348,C1=CC=C(C=C1)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl,"1, carcinogenic to humans. (L135)"
17432,CCOC1=NC(=NS1)C(Cl)(Cl)Cl,No indication of carcinogenicity to humans (not listed by IARC).
17491,CNC(=O)OC1=CC=C(C=C1)Cl,No indication of carcinogenicity to humans (not listed by IARC).
17516,CC1=CC(=CC(=C1)OC(=O)NC)C(C)C,No indication of carcinogenicity to humans (not listed by IARC).
17517,CC(C)C1=CC=CC=C1OC(=O)NC,No indication of carcinogenicity to humans (not listed by IARC).
17520,C1=CC=C2C(=C1)C(=O)NS2,No indication of carcinogenicity to humans (not listed by IARC).
17521,CC1=CC(=CC(=C1S(=O)C)C)OC(=O)NC,No indication of carcinogenicity to humans (not listed by IARC).
17550,CC1=CC=CC=C1N=NC2=C(C=CC3=CC=CC=C32)O,Group 2B: Possibly carcinogenic to humans
17559,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[NH4+].[NH4+],"3, not classifiable as to its carcinogenicity to humans. (L135)"
17563,CC1=CC(=CC(=C1)OC(=O)NC)C,No indication of carcinogenicity to humans (not listed by IARC).
17564,CC(C)(C)C1=CC(=CC(=C1)OC(=O)NC)C(C)(C)C,No indication of carcinogenicity to humans (not listed by IARC).
17581,COC1=CC(=C(C=C1Cl)OC)Cl,No indication of carcinogenicity to humans (not listed by IARC).
17604,C1=CC=C(C(=C1)C=C(C#N)C#N)Cl,No indication of carcinogenicity to humans (not listed by IARC).
17701,CC[Sn](CC)(CC)Br,No indication of carcinogenicity to humans (not listed by IARC).
17734,CNC1=C(C=C(C=C1)N(CCO)CCO)[N+](=O)[O-],Group 2B: Possibly carcinogenic to humans
17739,CCCC1=CC(=C(C=C1)O)OC,No indication of carcinogenicity (not listed by IARC). (L135)
17808,CC(=NOC(=O)NC1=CC=CC=C1)C,No indication of carcinogenicity to humans (not listed by IARC).
17811,CC1=CC(=C(C=C1)O)N=NC2=CC=C(C=C2)NC(=O)C,Group 3: Not classifiable as to its carcinogenicity to humans
17816,CC(C)CC(=O)OCC=C,Group 3: Not classifiable as to its carcinogenicity to humans
17925,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3Cl,No indication of carcinogenicity to humans (not listed by IARC).
18096,CC(C)OS(=O)(=O)OC(C)C,Group 2B: Possibly carcinogenic to humans
18101,C1=CC(=CC(=C1)Cl)C2=CC=C(C=C2)Cl,"1, carcinogenic to humans. (L135)"
18102,C1=CC=C(C=C1)C2=CC(=C(C=C2)Cl)Cl,"1, carcinogenic to humans. (L135)"
18104,CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)CCO,No indication of carcinogenicity to humans (not listed by IARC).
18177,C(#N)C(Cl)Cl,Group 3: Not classifiable as to its carcinogenicity to humans
18283,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO,No indication of carcinogenicity to humans (not listed by IARC).
18303,CC1CC(=O)O1,Group 2B: Possibly carcinogenic to humans
18487,CC1=C(C=CC(=C1)Cl)N.Cl,Not Available
18503,C1=CC2=C(C=CC=C2N=C=O)C(=C1)N=C=O,Group 3: Not classifiable as to its carcinogenicity to humans
18616,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Cu+2],Ingested nitrate or nitrite under conditions that result in endogenous nitrosation is probably carcinogenic to humans (Group 2A). (L135)
18617,C(#N)C(Br)Br,Group 2B: Possibly carcinogenic to humans
18633,C(CC(=O)[O-])C(=O)[O-].[Co+2],"2B, possibly carcinogenic to humans. (L135)"
18636,C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,"3, not classifiable as to its carcinogenicity to humans. (L135)"
18662,CNC(=O)OC1=CC=CC=C1OCC#C,No indication of carcinogenicity to humans (not listed by IARC).
18666,CNC(=O)OC1=CC=CC=C1C2CCCC2,No indication of carcinogenicity to humans (not listed by IARC).
18692,C(C(CO)(CBr)CBr)O,Group 2B: Possibly carcinogenic to humans
18730,C1=CC2=C(C=C1N=C=S)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,No indication of carcinogenicity to humans (not listed by IARC).
18745,CC(C)(C#N)C(C)(C)C#N,No indication of carcinogenicity to humans (not listed by IARC).
18746,C(=O)([O-])[O-].[Ni+2],"1, carcinogenic to humans. (L135)"
18752,COC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,No indication of carcinogenicity to humans (not listed by IARC).
18779,CC1=C2C=CC3=C(C2=CC=C1)C=CC4=CC=CC=C43,Group 3: Not classifiable as to its carcinogenicity to humans
18780,CC1=C2C(=CC=C1)C=CC3=C2C=CC4=CC=CC=C43,Group 3: Not classifiable as to its carcinogenicity to humans
18781,CC1=CC2=C(C=C1)C=CC3=C2C=CC4=CC=CC=C43,Group 3: Not classifiable as to its carcinogenicity to humans
18782,CC1=CC2=C(C=C1)C3=C(C=C2)C4=CC=CC=C4C=C3,Group 3: Not classifiable as to its carcinogenicity to humans
18805,CCCCC(C)Br,No indication of carcinogenicity to humans (not listed by IARC).
18827,CCCCCC(C=C)O,No indication of carcinogenicity to humans (not listed by IARC).
19005,C(=O)([O-])[O-].[Zn+2],No indication of carcinogenicity to humans (not listed by IARC).
19106,CC1=C(C=CC(=C1)OC(=O)NC)SC,No indication of carcinogenicity to humans (not listed by IARC).
19107,CC(C)C1=C(C(=CC=C1)OC(=O)NC)Cl,No indication of carcinogenicity to humans (not listed by IARC).
19241,CCCCNS(=O)(=O)C1=CC=CC=C1,No indication of carcinogenicity to humans (not listed by IARC).
19283,CCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCC,No indication of carcinogenicity to humans (not listed by IARC).
19427,CC1=CC2=CC=CC=C2C3=C1C4=CC=CC=C4C=C3,Group 2B: Possibly carcinogenic to humans
19493,C1[C@H]([C@@H]1N)C2=CC=CC=C2,No indication of carcinogenicity to humans (not listed by IARC).
19588,CCC(C)C1=CC=CC=C1OC(=O)NC,No indication of carcinogenicity to humans (not listed by IARC).
19592,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CCCC3=CC=CC=C23,Group 2B: Possibly carcinogenic to humans
19700,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[Na+].[Na+],Group 3: Not classifiable as to its carcinogenicity to humans
19727,CC[NH+](CC)CCOC(=O)C1=C(C=C(C=C1)N)Cl.[Cl-],No indication of carcinogenicity to humans (not listed by IARC).
19958,C1=CC(=CC=C1N=C=S)N=C=S,No indication of carcinogenicity to humans (not listed by IARC).
20011,C1N2CN3CN1C[N+](C2)(C3)CC=CCl.[Cl-],"1, carcinogenic to humans (for formaldehyde). (L135)"
20087,CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,No indication of carcinogenicity to humans (not listed by IARC).
20179,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl,No indication of carcinogenicity to humans (not listed by IARC).
20189,C1=CC(=CC=C1C[C@H](C(=O)O)N)N(CCCl)CCCl,Group 3: Not classifiable as to its carcinogenicity to humans
20279,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,No indication of carcinogenicity to humans (not listed by IARC).
20392,COC(=O)C1=CC=CC=C1C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
20393,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)O,No indication of carcinogenicity to humans (not listed by IARC).
20543,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O.[Zn],No indication of carcinogenicity to humans (not listed by IARC).
20678,CN(C=C)N=O,Group 2B: Possibly carcinogenic to humans
20803,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5.[Na+],Group 3: Not classifiable as to its carcinogenicity to humans
20806,CC1=C[C@@H]2[C@](CC1)([C@]3([C@@H](C[C@H]([C@@]34CO4)O2)OC(=O)C)C)C,No indication of carcinogenicity to humans (not listed by IARC).
20966,C[C@@H]1CC2=C(C(=C(C=C2)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)O)C(=O)O1,No indication of carcinogenicity to humans (not listed by IARC).
20997,CCOC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CC(=C3C[C@H](OC(=O)C3=C2O)C)Cl,No indication of carcinogenicity to humans (not listed by IARC).
21013,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O,"Not directly listed by IARC, but related polychlorophenols are discussed, and combined exposures to polychlorophenols or to their sodium salts are classified as possibly carcinogenic to humans (Group 2B). (L135)"
21202,C1CC(CCC1CC2CCC(CC2)N=C=O)N=C=O,No indication of carcinogenicity to humans (not listed by IARC).
21209,C1=CC(=C(C=C1N)N)Cl,Group 3: Not classifiable as to its carcinogenicity to humans
21223,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=C(C=C5)S(=O)(=O)[O-].[Na+].[Na+],Group 3: Not classifiable as to its carcinogenicity to humans
21238,CC1=CC(=C(C=C1Cl)S(=O)(=O)[O-])N=NC2=C(C=CC3=CC=CC=C32)O.CC1=CC(=C(C=C1Cl)S(=O)(=O)[O-])N=NC2=C(C=CC3=CC=CC=C32)O.[Ba+2],Group 3: Not classifiable as to its carcinogenicity to humans
21307,CC1=C(SCCO1)C(=O)NC2=CC=CC=C2,No indication of carcinogenicity to humans (not listed by IARC).
21387,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)O,No indication of carcinogenicity to humans (not listed by IARC).
21480,C1=CC=C2C(=C1)C=C3C4=CC=CC=C4C5=C3C2=CC6=CC=CC=C65,Group 3: Not classifiable as to its carcinogenicity to humans
21510,C1=CC2=C(C=C1Cl)C3=C(O2)C=CC(=C3)Cl,"3, not classifiable as to its carcinogenicity to humans. (L135)"
21694,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)[N+](=O)[O-],Group 2A: Probably carcinogenic to humans
21704,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N,No indication of carcinogenicity to humans (not listed by IARC).
21803,COP(=S)(OC)OC1=NC(=C(C=C1Cl)Cl)Cl,No indication of carcinogenicity to humans (not listed by IARC).
21804,CCOP(=O)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,No indication of carcinogenicity to humans (not listed by IARC).
21852,CC(C1OCC(O1)CO)I,Not Available
21954,C1=CC(=O)NNC1=O,Group 3: Not classifiable as to its carcinogenicity to humans
22044,C1=CC=C(C=C1)C(C#N)Br,No indication of carcinogenicity (not listed by IARC). (L135)
22188,CC1=C(C(=O)N(C(=O)N1)C(C)(C)C)Cl,No indication of carcinogenicity to humans (not listed by IARC).
22273,C[As](=O)(C)[O-].C[As](=O)(C)[O-].C[As](=O)(C)[O-].[Fe+3],"3, not classifiable as to its carcinogenicity to humans. (L135)"
22274,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Mn+3],No indication of carcinogenicity to humans (not listed by IARC).
22283,CC1CCCC(CCCCCC2=C(C(=CC(=C2)O)O)C(=O)O1)O,Not listed by IARC.
22584,C1=CC(=C(C=C1N)Cl)N.OS(=O)(=O)O,Not Available
22772,C(SC#N)SC#N,No indication of carcinogenicity to humans (not listed by IARC).
22830,COC1=CC(=C(C=C1)OC)N=NC2=C(C=CC3=CC=CC=C32)O,Group 2B: Possibly carcinogenic to humans
22856,CC1=C(C=CC(=C1)N)N.OS(=O)(=O)O,Not Available
22890,CC1=CC(=CC(=C1N(CC=C)CC=C)C)OC(=O)NC,No indication of carcinogenicity to humans (not listed by IARC).
22947,CC1(C(=O)N(C(=O)N1CO)CO)C,"1, carcinogenic to humans (for formaldehyde). (L135)"
22960,CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=C(C=C2)N=NC3=C(C=C(C=C3)C4=CC(=C(C=C4)N=NC5=C(C=CC6=CC(=CC(=C65)S(=O)(=O)[O-])S(=O)(=O)[O-])O)C)C.[Na+].[Na+],Group 2B: Possibly carcinogenic to humans
22985,[NH4+].[N+](=O)([O-])[O-],Ingested nitrate or nitrite under conditions that result in endogenous nitrosation is probably carcinogenic to humans (Group 2A). (L135)
22988,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Mn+2],No indication of carcinogenicity to humans (not listed by IARC).
23087,CCCCOC(=O)C(=C)C#N,No indication of carcinogenicity to humans (not listed by IARC).
23167,CCCCCCCCOC(=O)C(=C)C#N,No indication of carcinogenicity to humans (not listed by IARC).
23284,CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C,No indication of carcinogenicity to humans (not listed by IARC).
23354,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Sb+3],No indication of carcinogenicity (not listed by IARC). (L135)
23392,C1=CC=NC(=C1)CCl.Cl,Not Available
23394,C1=CC(=CN=C1)CCl.Cl,Not Available
23421,CNC(=O)OC1=CC=CC=C1C2OCCO2,No indication of carcinogenicity to humans (not listed by IARC).
23448,C1=CC(=CC=C1C2=C(C=C(C=C2)Cl)Cl)Cl,"1, carcinogenic to humans. (L135)"
23565,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C.O.O.O,Not Available
23577,CC(C)(C)[N+]#[C-],No indication of carcinogenicity to humans (not listed by IARC).
